user_id,product_id,event_type,timestamp,rating,review_text
U01735,AD03736,view,2024-03-03 12:45:00,,
U02346,AD03531,view,2024-03-05 09:49:00,,
U01910,AD00099,view,2024-03-06 09:16:00,,
U01910,AD00099,add_to_cart,2024-03-06 09:33:00,,
U01910,AD00099,purchase,2024-03-06 10:30:00,,
U01735,AD03188,view,2024-03-06 18:53:00,,
U03559,AD02942,view,2024-03-07 11:08:00,,
U01735,AD03014,view,2024-03-07 12:04:00,,
U02323,AD01259,view,2024-03-07 15:34:00,,
U02323,AD01259,add_to_cart,2024-03-07 15:56:00,,
U01979,AD01558,view,2024-03-07 16:27:00,,
U03634,NK13978043,view,2024-03-07 18:30:00,,
U03634,NK13978043,add_to_cart,2024-03-07 18:39:00,,
U03634,NK13978043,purchase,2024-03-07 18:50:00,,
U02911,NK12916171,view,2024-03-07 21:18:00,,
U02911,NK12916171,add_to_cart,2024-03-07 21:29:00,,
U02911,NK12916171,purchase,2024-03-07 22:52:00,,
U01735,NK14039345,view,2024-03-08 09:54:00,,
U00834,AD00606,view,2024-03-08 14:55:00,,
U04124,AD03078,view,2024-03-08 15:22:00,,
U00512,AD02946,view,2024-03-08 20:58:00,,
U03758,NK13824643,view,2024-03-09 07:11:00,,
U01708,AD03481,view,2024-03-09 16:24:00,,
U01708,AD03481,add_to_cart,2024-03-09 16:47:00,,
U01708,AD03481,purchase,2024-03-09 17:34:00,,
U02696,NK14040486,view,2024-03-10 11:15:00,,
U04076,AD03353,view,2024-03-10 16:17:00,,
U04076,AD03353,add_to_cart,2024-03-10 16:41:00,,
U04076,AD03353,purchase,2024-03-10 17:44:00,,
U03461,AD01498,view,2024-03-10 20:00:00,,
U03461,AD01498,add_to_cart,2024-03-10 20:23:00,,
U03461,AD01498,purchase,2024-03-10 21:35:00,,
U02911,NK12916171,rating,2024-03-11 01:52:00,4,"First the good news: this is a superbly designed watch. The advanced features (e.g., chronograph, world time zone settings, alarms) are easy to use and understand. Due to the Eco-drive system, the battery lasts practically forever and it keeps accurate time. The titanium version is much lighter than the stainless and it really is waterproof. If you are a pilot the slide bezel works great for calculating fuel consumption, speed, etc. The safety clasp fastens securely and is easy to use.Now the bad news: it's shockingly fragile. Granted I'm fairly tough on watches, so the fact that the crystal g"
U04941,NK13920823,view,2024-03-11 09:31:00,,
U01276,AD01267,view,2024-03-11 10:22:00,,
U01276,AD01267,add_to_cart,2024-03-11 10:24:00,,
U01276,AD01267,purchase,2024-03-11 11:30:00,,
U04941,NK14075807,view,2024-03-11 13:08:00,,
U04941,NK14075807,add_to_cart,2024-03-11 13:30:00,,
U00765,NK14079545,view,2024-03-11 17:02:00,,
U02943,AD01697,view,2024-03-11 19:43:00,,
U02943,AD01697,add_to_cart,2024-03-11 19:44:00,,
U01461,AD00493,view,2024-03-12 11:31:00,,
U01356,AD02719,view,2024-03-12 12:11:00,,
U01498,AD01851,view,2024-03-12 12:16:00,,
U01498,AD01851,add_to_cart,2024-03-12 12:34:00,,
U01498,AD01851,purchase,2024-03-12 13:21:00,,
U04686,NK14084726,view,2024-03-12 14:42:00,,
U04686,NK14084726,add_to_cart,2024-03-12 14:46:00,,
U04941,NK13709754,view,2024-03-12 14:58:00,,
U03788,AD02023,view,2024-03-12 18:41:00,,
U01973,NK13702194,view,2024-03-12 22:32:00,,
U04076,AD00457,view,2024-03-13 08:12:00,,
U01323,AD02294,view,2024-03-13 19:18:00,,
U01550,NK13816614,view,2024-03-14 12:13:00,,
U01461,NK13807834,view,2024-03-14 13:20:00,,
U03461,AD01498,rating,2024-03-14 13:35:00,3,"This fits my full frame semi-auto pistols nicely, but I had a slight problem with firearm security.When you're wearing it, your firearm's butt tilt out away from your body, regardless of how tightly you've secured it. This can be a dangerous if you're on the move and smack it on something, or if you need to draw and the grip isn't where you need it to be right when you need it to be there!"
U01461,NK13807834,add_to_cart,2024-03-14 13:36:00,,
U01642,AD00147,view,2024-03-14 15:29:00,,
U03634,NK13978043,rating,2024-03-14 17:50:00,5,"I purchased two locks to provide an additional level of security on both a full size rifle and a Ruger 10/22. I selected the Master Lock combination model because it will allow me to keep firearms secured without having to keep track of a key. For those gun owners who want to balance the always-never dilemma (always have ready access but never allow unauthorized users access), this product works extremely well. Despite customer complaints about setting the locks, I the process to be extraordinarily easy. I had both locks reset and on their respective rifles in just a couple minutes.I will cont"
U00801,NK13798073,view,2024-03-15 08:29:00,,
U01664,NK13041292,view,2024-03-15 12:20:00,,
U04686,AD01982,view,2024-03-16 12:27:00,,
U03364,AD00617,view,2024-03-16 12:39:00,,
U03364,AD00617,add_to_cart,2024-03-16 12:43:00,,
U04941,NK12869370,view,2024-03-16 18:13:00,,
U02988,NK14094657,view,2024-03-16 21:23:00,,
U04402,AD03849,view,2024-03-16 22:16:00,,
U00512,NK13425976,view,2024-03-17 08:06:00,,
U04302,AD00296,view,2024-03-17 09:17:00,,
U03829,AD00611,view,2024-03-17 13:00:00,,
U03829,AD00611,add_to_cart,2024-03-17 13:11:00,,
U02039,NK14027203,view,2024-03-17 15:58:00,,
U00834,NK13923331,view,2024-03-17 17:16:00,,
U00431,AD01302,view,2024-03-17 17:18:00,,
U00834,NK13923331,add_to_cart,2024-03-17 17:21:00,,
U00431,AD01302,add_to_cart,2024-03-17 17:40:00,,
U00486,NK13093431,view,2024-03-18 07:34:00,,
U00486,NK13093431,add_to_cart,2024-03-18 07:57:00,,
U01936,AD02582,view,2024-03-18 08:05:00,,
U01936,AD02582,add_to_cart,2024-03-18 08:08:00,,
U03222,NK14039606,view,2024-03-18 19:31:00,,
U03222,NK14039606,add_to_cart,2024-03-18 19:39:00,,
U03222,NK14039606,purchase,2024-03-18 19:59:00,,
U00834,NK14248830,view,2024-03-19 09:43:00,,
U00824,NK13809424,view,2024-03-19 09:50:00,,
U03078,NK13903920,view,2024-03-19 10:26:00,,
U01973,NK13838834,view,2024-03-19 12:56:00,,
U00645,AD02536,view,2024-03-19 16:15:00,,
U02021,NK14080051,view,2024-03-19 18:02:00,,
U00992,AD00266,view,2024-03-19 18:41:00,,
U03222,NK14078500,view,2024-03-19 20:44:00,,
U04860,NK13917182,view,2024-03-19 21:21:00,,
U04860,NK13917182,add_to_cart,2024-03-19 21:41:00,,
U02696,AD01263,view,2024-03-20 15:31:00,,
U01004,NK13808544,view,2024-03-20 15:49:00,,
U01553,NK14084816,view,2024-03-20 17:37:00,,
U01381,AD02975,view,2024-03-21 08:17:00,,
U00486,NK13865132,view,2024-03-21 12:59:00,,
U04941,NK12805626,view,2024-03-21 13:01:00,,
U00486,NK13865132,add_to_cart,2024-03-21 13:12:00,,
U00486,NK13865132,purchase,2024-03-21 13:52:00,,
U01910,NK14070218,view,2024-03-21 17:17:00,,
U01910,NK14070218,add_to_cart,2024-03-21 17:35:00,,
U01936,AD00457,view,2024-03-21 18:19:00,,
U01708,AD01286,view,2024-03-21 20:52:00,,
U01708,AD01286,add_to_cart,2024-03-21 20:58:00,,
U01708,AD03481,rating,2024-03-21 21:34:00,5,"The knife arrived with a not so sharp blade, but easily remedied with a few strokes of a good stone. the sharpening stone that comes with the knife is a bit on the useless side and arrived warped. Despite all of this the Knife itself is well made, the Camo pattern on the blade is great and nicely done. the blade is sturdy 440C stainless and took the new edge nicely, and you can now shave with it. This knife will hold up to any survival needs. I recommend it to any that need a good survival knife at a good price."
U01708,AD01286,purchase,2024-03-21 22:06:00,,
U00843,AD02288,view,2024-03-21 22:19:00,,
U04686,NK12859259,view,2024-03-21 22:54:00,,
U03076,AD02658,view,2024-03-22 07:06:00,,
U04941,NK13941736,view,2024-03-22 11:28:00,,
U01473,NK14161279,view,2024-03-22 20:14:00,,
U01473,NK14161279,add_to_cart,2024-03-22 20:38:00,,
U01642,NK13906765,view,2024-03-22 21:05:00,,
U00338,NK13425873,view,2024-03-22 22:03:00,,
U01910,AD00099,rating,2024-03-23 02:30:00,4,"Just got the bag, very durable material, think as hell and very very warm. only 2 down sides i have is 1 i can't get it rolled tight enough to go back in the bad and 2, i am an average sized adult but this bag is pretty tight, still very happy with it."
U02323,AD00770,view,2024-03-23 10:27:00,,
U01642,NK13636676,view,2024-03-23 13:53:00,,
U01550,AD02983,view,2024-03-23 14:05:00,,
U01461,NK14043069,view,2024-03-23 16:13:00,,
U03640,NK14079545,view,2024-03-23 19:05:00,,
U03640,NK14079545,add_to_cart,2024-03-23 19:15:00,,
U04341,AD00051,view,2024-03-23 19:21:00,,
U01936,AD02242,view,2024-03-23 20:19:00,,
U01766,NK13785916,view,2024-03-23 20:21:00,,
U02920,AD01490,view,2024-03-23 20:48:00,,
U02648,NK13921815,view,2024-03-24 08:48:00,,
U02648,NK13921815,add_to_cart,2024-03-24 09:11:00,,
U01141,AD03652,view,2024-03-24 10:29:00,,
U03766,AD01861,view,2024-03-24 14:23:00,,
U04639,AD01929,view,2024-03-24 16:15:00,,
U04639,AD01929,add_to_cart,2024-03-24 16:19:00,,
U04779,NK12477105,view,2024-03-24 16:35:00,,
U04779,NK12477105,add_to_cart,2024-03-24 16:53:00,,
U02864,AD01165,view,2024-03-24 17:22:00,,
U00218,NK13358958,view,2024-03-24 20:05:00,,
U02419,NK10065834,view,2024-03-24 21:50:00,,
U01381,NK14084019,view,2024-03-25 12:06:00,,
U01381,NK14084019,add_to_cart,2024-03-25 12:27:00,,
U04079,NK13913833,view,2024-03-25 14:11:00,,
U04072,NK12633972,view,2024-03-25 17:30:00,,
U01936,AD03594,view,2024-03-25 18:41:00,,
U01642,NK13917166,view,2024-03-26 14:23:00,,
U02899,NK14238488,view,2024-03-26 15:16:00,,
U01642,AD02018,view,2024-03-26 21:39:00,,
U01276,AD01267,rating,2024-03-27 03:30:00,4,"I mounted one of these on my hardtail mountain bike & unfold it whenever I'm out for a ride & end up doing some unplanned shopping. I have other bikes with bigger Wald baskets on the back for PLANNED shopping trips!This one won't carry a lot of weight so you might consider one of Wald's other baskets (a set of 570's, for example) if you are looking to do regular grocery shopping with your bike. I wouldn't use a 582 for a load much over 10 pounds.On your bike, you'll need to have an ordinary Blackburn-style rear rack on which to mount a 582. You'll also need to be able to mount this basket far "
U01553,NK12969401,view,2024-03-27 08:15:00,,
U03401,AD03309,view,2024-03-27 10:01:00,,
U03050,AD00991,view,2024-03-27 15:13:00,,
U04686,NK13093431,view,2024-03-27 17:31:00,,
U04686,NK13093431,add_to_cart,2024-03-27 17:55:00,,
U04686,NK13093431,purchase,2024-03-27 18:28:00,,
U02532,NK13920814,view,2024-03-27 20:30:00,,
U03222,NK14039606,rating,2024-03-27 23:59:00,5,"Lodge is an institutional standard. IT's been around, and worthy of it's NAME and LOYALTY. These pans are heavy like ""grandma's"". I mean they are super heavy, two hands only. Do not leave on the edge of anything, or near small children. Honestly if one of these falls on their heads- it could and probably would cause permanent damage or dare I say it- YES, THAT REALLY COULD HAPPEN. These are weapon heavy. Now on to the fun stuff.I got my LODGE DUTCH OVEN, as a price saver, instead of buying the 3 qt and fry pan alone, this combo saves $15 bucks. and it's the same two pots. So that's reason one "
U00711,AD03916,view,2024-03-28 07:27:00,,
U03903,AD00138,view,2024-03-28 10:30:00,,
U01642,AD02708,view,2024-03-28 11:10:00,,
U01642,AD02708,add_to_cart,2024-03-28 11:34:00,,
U01621,AD03984,view,2024-03-28 14:46:00,,
U03648,AD03561,view,2024-03-28 16:23:00,,
U04994,AD02850,view,2024-03-28 17:20:00,,
U00494,NK13193166,view,2024-03-28 19:49:00,,
U00494,NK13193166,add_to_cart,2024-03-28 20:09:00,,
U00494,NK13193166,purchase,2024-03-28 20:21:00,,
U02047,NK14183456,view,2024-03-28 22:59:00,,
