product_id,brand,category,subcategory,sport_type,gender_target,price,discount,stock_status,size,color,material,weight,cushioning_level,arch_support,breathability,waterproof,seasonality,avg_rating,review_count,sales_rank,product_description
NK13920564,Nike,accessory,bags-and-backpacks,lifestyle,women,60.92,0.2,out_of_stock,one-size,multi,polyester,690,1,medium,2,False,all-season,4.49,112,1797,"Nike Sportswear Futura Luxe - Women's Mini Backpack (10L). Women's bags and backpacks in multi. Weather-shielding polyester build, all-season wear."
NK13797833,Nike,accessory,bags-and-backpacks,lifestyle,women,48.2,0.0,out_of_stock,one-size,green,polyester,750,1,medium,2,False,all-season,3.99,9,8180,"Nike Sportswear Futura Luxe - Women's Cross-Body Bag (1L). Women's bags and backpacks in green. Weather-shielding polyester build, all-season wear."
NK13168842,Nike,accessory,bags-and-backpacks,lifestyle,women,48.2,0.0,in_stock,one-size,black,synthetic,583,1,medium,2,False,all-season,4.13,23,5876,"Nike Sportswear Futura Luxe - Women's Cross-Body Bag (1L). Women's bags and backpacks in black. Weather-shielding synthetic build, all-season wear."
NK14039939,Nike,accessory,bags-and-backpacks,lifestyle,women,35.5,0.0,in_stock,one-size,blue,synthetic,749,1,medium,4,False,all-season,4.56,278,1085,"Nike Heritage - Backpack (25L). Women's bags and backpacks in blue. Breathable synthetic build, all-season wear."
NK13798164,Nike,accessory,bags-and-backpacks,training,women,44.39,0.0,low_stock,one-size,grey,cotton,660,1,medium,2,False,all-season,4.5,8,7723,"Nike Brasilia 9.5 - Training Duffel Bag (Medium, 60L). Women's bags and backpacks in grey. Weather-shielding cotton build, all-season wear."
NK14038291,Nike,accessory,bags-and-backpacks,training,women,44.39,0.0,in_stock,one-size,grey,cotton,704,1,medium,4,False,all-season,3.96,26,5808,"Nike Brasilia 9.5 - Training Duffel Bag (Medium, 60L). Women's bags and backpacks in grey. Breathable cotton build, all-season wear."
NK13798162,Nike,accessory,bags-and-backpacks,training,women,44.39,0.0,in_stock,one-size,black,polyester,502,1,medium,3,False,all-season,4.16,26,5467,"Nike Brasilia 9.5 - Training Duffel Bag (Medium, 60L). Women's bags and backpacks in black. Moderately breathable polyester build, all-season wear."
NK13798203,Nike,accessory,bags-and-backpacks,training,women,44.39,0.0,out_of_stock,one-size,black,synthetic,778,1,medium,4,False,summer,4.78,24,4663,"Nike Brasilia 9.5 - Training Backpack (Medium, 24L). Women's bags and backpacks in black. Breathable synthetic build, summer wear."
NK13350534,Nike,accessory,bags-and-backpacks,lifestyle,women,25.34,0.0,in_stock,one-size,grey,polyester,685,1,medium,3,False,summer,4.64,77,2324,"Nike Heritage - Waistpack (3L). Women's bags and backpacks in grey. Moderately breathable polyester build, summer wear."
NK13350529,Nike,accessory,bags-and-backpacks,lifestyle,women,25.34,0.0,in_stock,one-size,black,polyester,797,1,medium,3,False,all-season,4.38,37,4003,"Nike Heritage - Waistpack (3L). Women's bags and backpacks in black. Moderately breathable polyester build, all-season wear."
NK13920818,Nike,accessory,bags-and-backpacks,training,women,41.85,0.0,in_stock,one-size,multi,synthetic,738,1,medium,3,False,all-season,4.88,129,430,"Nike Gym Club - Training Bag (24L). Women's bags and backpacks in multi. Moderately breathable synthetic build, all-season wear."
NK13920823,Nike,accessory,bags-and-backpacks,training,women,41.85,0.0,out_of_stock,one-size,multi,cotton,491,1,medium,4,False,all-season,5.0,963,36,"Nike Gym Club - Training Bag (24L). Women's bags and backpacks in multi. Breathable cotton build, all-season wear."
NK13798039,Nike,accessory,bags-and-backpacks,training,women,15.18,0.0,low_stock,one-size,black,cotton,770,1,medium,4,False,all-season,4.76,3,8709,"Nike Brasilia 9.5 - Training Gymsack (18L). Women's bags and backpacks in black. Breathable cotton build, all-season wear."
NK14038441,Nike,accessory,bags-and-backpacks,training,women,15.18,0.0,in_stock,one-size,grey,synthetic,666,1,medium,4,False,all-season,3.49,4,9456,"Nike Brasilia 9.5 - Training Gymsack (18L). Women's bags and backpacks in grey. Breathable synthetic build, all-season wear."
NK13798041,Nike,accessory,bags-and-backpacks,training,women,15.18,0.0,in_stock,one-size,grey,synthetic,701,1,medium,3,False,all-season,4.6,20,4983,"Nike Brasilia 9.5 - Training Gymsack (18L). Women's bags and backpacks in grey. Moderately breathable synthetic build, all-season wear."
NK14039363,Nike,accessory,bags-and-backpacks,training,women,38.04,0.0,low_stock,one-size,green,synthetic,693,1,medium,4,False,all-season,4.28,45,3847,"Nike Brasilia - Printed Training Duffel Bag (Small, 41L). Women's bags and backpacks in green. Breathable synthetic build, all-season wear."
NK13920809,Nike,accessory,bags-and-backpacks,lifestyle,women,29.15,0.0,in_stock,one-size,black,polyester,643,1,medium,2,False,all-season,4.92,21,4610,"Nike Sportswear Essentials - Cross-Body Bag (1L). Women's bags and backpacks in black. Weather-shielding polyester build, all-season wear."
NK13073258,Nike,accessory,bags-and-backpacks,training,women,63.44,0.0,in_stock,one-size,black,polyester,619,1,medium,3,False,summer,4.3,41,1175,"Nike One Club - Women's Training Duffel Bag (24L). Women's bags and backpacks in black. Moderately breathable polyester build, summer wear."
NK14037728,Nike,accessory,bags-and-backpacks,training,women,57.09,0.0,in_stock,one-size,multi,polyester,706,1,medium,3,False,all-season,4.51,551,141,"Nike One - Women's Training Backpack (16L). Women's bags and backpacks in multi. Moderately breathable polyester build, all-season wear."
NK13073246,Nike,accessory,bags-and-backpacks,training,women,57.09,0.0,in_stock,one-size,black,polyester,586,1,medium,2,False,all-season,4.24,298,298,"Nike One - Women's Training Backpack (16L). Women's bags and backpacks in black. Weather-shielding polyester build, all-season wear."
NK14037949,Nike,accessory,bags-and-backpacks,lifestyle,women,48.2,0.0,in_stock,one-size,grey,synthetic,653,1,medium,2,False,all-season,4.83,10,6831,"Nike Heritage - Eugene Backpack (23L). Women's bags and backpacks in grey. Weather-shielding synthetic build, all-season wear."
NK13350523,Nike,accessory,bags-and-backpacks,lifestyle,women,48.2,0.0,out_of_stock,one-size,black,synthetic,761,1,medium,4,False,all-season,3.29,203,2249,"Nike Heritage - Eugene Backpack (23L). Women's bags and backpacks in black. Breathable synthetic build, all-season wear."
NK12886798,Nike,accessory,bags-and-backpacks,lifestyle,women,204.41,0.0,in_stock,one-size,black,polyester,556,1,medium,2,False,all-season,3.8,13,8165,"Nike Sport Lite - Golf Bag. Women's bags and backpacks in black. Weather-shielding polyester build, all-season wear."
NK14038335,Nike,accessory,bags-and-backpacks,training,women,38.04,0.0,in_stock,one-size,grey,polyester,635,1,medium,3,False,summer,4.84,15,5721,"Nike Brasilia 9.5 - Training Duffel Bag (Small, 41L). Women's bags and backpacks in grey. Moderately breathable polyester build, summer wear."
NK13798197,Nike,accessory,bags-and-backpacks,training,women,38.04,0.0,in_stock,one-size,grey,cotton,742,1,medium,4,False,all-season,4.64,3,9039,"Nike Brasilia 9.5 - Training Duffel Bag (Small, 41L). Women's bags and backpacks in grey. Breathable cotton build, all-season wear."
NK13107367,Jordan,apparel,bags-and-backpacks,basketball,women,48.2,0.0,out_of_stock,one-size,black,synthetic,363,1,medium,4,False,all-season,4.26,32,4790,"Jordan Shoebox - Rucksack. Women's bags and backpacks in black. Breathable synthetic build, all-season wear."
NK14037834,Nike,accessory,bags-and-backpacks,lifestyle,women,25.34,0.0,in_stock,one-size,navy,cotton,502,1,medium,2,False,all-season,4.82,298,931,"Nike Nike - Heritage Waistpack. Women's bags and backpacks in navy. Weather-shielding cotton build, all-season wear."
NK13350524,Nike,accessory,bags-and-backpacks,lifestyle,women,25.34,0.0,low_stock,one-size,black,synthetic,496,1,medium,3,False,all-season,3.53,283,1522,"Nike Nike - Heritage Waistpack. Women's bags and backpacks in black. Moderately breathable synthetic build, all-season wear."
NK14039828,Nike,accessory,bags-and-backpacks,lifestyle,women,38.04,0.0,in_stock,one-size,black,polyester,614,1,medium,4,False,all-season,4.09,14,7047,"Nike Heritage - Duffel Bag (30L). Women's bags and backpacks in black. Breathable polyester build, all-season wear."
NK13168773,Nike,accessory,bags-and-backpacks,lifestyle,women,82.49,0.0,in_stock,one-size,black,synthetic,783,1,medium,4,False,all-season,4.89,48,892,"Nike Sportswear Futura Luxe - Women's Tote (10L). Women's bags and backpacks in black. Breathable synthetic build, all-season wear."
NK13350647,Nike,accessory,bags-and-backpacks,lifestyle,women,22.8,0.0,in_stock,one-size,grey,synthetic,591,1,medium,3,False,all-season,4.16,23,5516,"Nike Heritage - Drawstring Bag (13L). Women's bags and backpacks in grey. Moderately breathable synthetic build, all-season wear."
NK14037923,Nike,accessory,bags-and-backpacks,lifestyle,women,35.5,0.0,out_of_stock,one-size,pink,polyester,629,1,medium,2,False,winter,4.62,152,1539,"Nike Heritage - Backpack (25L). Women's bags and backpacks in pink. Weather-shielding polyester build, winter wear."
