config,segment,users,n_relevant,n_reachable,precision,recall,recall_reachable,ndcg,map,k,mode
random,0 ratings,631,671,407,0.0001584786053882726,0.001584786053882726,0.002564102564102564,0.0005282620179609086,0.00022639800769753217,10,profile only (cold start)
random,1-2 ratings,905,1024,631,0.00022099447513812155,0.0016574585635359116,0.0017152658662092624,0.0011246216141502753,0.0008287292817679558,10,profile only (cold start)
random,3-5 ratings,188,260,156,0.0,0.0,0.0,0.0,0.0,10,profile + centroid
random,6+ ratings,18,33,23,0.0,0.0,0.0,0.0,0.0,10,profile + centroid
popularity,0 ratings,631,671,407,0.02012678288431062,0.19730586370839936,0.15,0.12329174324414623,0.09997767464090761,10,profile only (cold start)
popularity,1-2 ratings,905,1024,631,0.01812154696132597,0.16335174953959486,0.11578044596912522,0.10271482252140227,0.0809078751205823,10,profile only (cold start)
popularity,3-5 ratings,188,260,156,0.017553191489361703,0.12074468085106382,0.08398950131233596,0.0806987625073684,0.05873015873015873,10,profile + centroid
popularity,6+ ratings,18,33,23,0.011111111111111112,0.08333333333333333,0.058823529411764705,0.0412811107968091,0.023148148148148147,10,profile + centroid
knowledge_only,0 ratings,631,671,407,0.001584786053882726,0.015055467511885896,0.02435897435897436,0.007260801422293647,0.0047386360777802936,10,profile only (cold start)
knowledge_only,1-2 ratings,905,1024,631,0.0007734806629834255,0.0055248618784530384,0.008576329331046312,0.0024349309378164886,0.0012411207576953434,10,profile only (cold start)
knowledge_only,3-5 ratings,188,260,156,0.002127659574468085,0.02127659574468085,0.031496062992125984,0.011440759035325893,0.008472644376899695,10,profile + centroid
knowledge_only,6+ ratings,18,33,23,0.0,0.0,0.0,0.0,0.0,10,profile + centroid
content_only,0 ratings,631,671,407,0.0012678288431061807,0.011885895404120444,0.014102564102564103,0.005222337643832988,0.0032003873921465044,10,profile only (cold start)
content_only,1-2 ratings,905,1024,631,0.0006629834254143648,0.004972375690607734,0.010291595197255575,0.002658088946145226,0.0016771902131018153,10,profile only (cold start)
content_only,3-5 ratings,188,260,156,0.0005319148936170213,0.005319148936170213,0.0,0.0015375788633930207,0.0005319148936170213,10,profile + centroid
content_only,6+ ratings,18,33,23,0.0,0.0,0.0,0.0,0.0,10,profile + centroid
cascade,0 ratings,631,671,407,0.0020602218700475437,0.019809825673534072,0.03205128205128205,0.008690927249220281,0.005170050059115036,10,profile only (cold start)
cascade,1-2 ratings,905,1024,631,0.002320441988950276,0.020257826887661142,0.03344768439108062,0.010871937066919942,0.007412084539156361,10,profile only (cold start)
cascade,3-5 ratings,188,260,156,0.003191489361702128,0.017730496453900707,0.03018372703412073,0.00927421827014072,0.004948708206686929,10,profile + centroid
cascade,6+ ratings,18,33,23,0.005555555555555556,0.05555555555555555,0.058823529411764705,0.05555555555555555,0.05555555555555555,10,profile + centroid
