user_id,config,k,n_relevant,n_reachable,n_returned,qualifying_ratings,precision,recall,recall_reachable,ndcg,ap
U00003,random,5,1,1,5,2,0.0,0.0,0.0,0.0,0.0
U00003,random,10,1,1,10,2,0.0,0.0,0.0,0.0,0.0
U00003,random,20,1,1,20,2,0.0,0.0,0.0,0.0,0.0
U00003,popularity,5,1,1,5,2,0.0,0.0,0.0,0.0,0.0
U00003,popularity,10,1,1,10,2,0.0,0.0,0.0,0.0,0.0
U00003,popularity,20,1,1,20,2,0.0,0.0,0.0,0.0,0.0
U00003,knowledge_only,5,1,1,5,2,0.0,0.0,0.0,0.0,0.0
U00003,knowledge_only,10,1,1,10,2,0.0,0.0,0.0,0.0,0.0
U00003,knowledge_only,20,1,1,20,2,0.0,0.0,0.0,0.0,0.0
U00003,content_only,5,1,1,5,2,0.0,0.0,0.0,0.0,0.0
U00003,content_only,10,1,1,10,2,0.0,0.0,0.0,0.0,0.0
U00003,content_only,20,1,1,20,2,0.0,0.0,0.0,0.0,0.0
U00003,cascade,5,1,1,5,2,0.0,0.0,0.0,0.0,0.0
U00003,cascade,10,1,1,10,2,0.0,0.0,0.0,0.0,0.0
U00003,cascade,20,1,1,20,2,0.0,0.0,0.0,0.0,0.0
U00004,random,5,1,1,5,0,0.0,0.0,0.0,0.0,0.0
U00004,random,10,1,1,10,0,0.0,0.0,0.0,0.0,0.0
U00004,random,20,1,1,20,0,0.0,0.0,0.0,0.0,0.0
U00004,popularity,5,1,1,5,0,0.0,0.0,0.0,0.0,0.0
U00004,popularity,10,1,1,10,0,0.0,0.0,0.0,0.0,0.0
U00004,popularity,20,1,1,20,0,0.0,0.0,0.0,0.0,0.0
U00004,knowledge_only,5,1,1,5,0,0.0,0.0,0.0,0.0,0.0
U00004,knowledge_only,10,1,1,10,0,0.0,0.0,0.0,0.0,0.0
U00004,knowledge_only,20,1,1,20,0,0.0,0.0,0.0,0.0,0.0
U00004,content_only,5,1,1,5,0,0.0,0.0,0.0,0.0,0.0
U00004,content_only,10,1,1,10,0,0.0,0.0,0.0,0.0,0.0
U00004,content_only,20,1,1,20,0,0.0,0.0,0.0,0.0,0.0
U00004,cascade,5,1,1,5,0,0.0,0.0,0.0,0.0,0.0
U00004,cascade,10,1,1,10,0,0.0,0.0,0.0,0.0,0.0
U00004,cascade,20,1,1,20,0,0.0,0.0,0.0,0.0,0.0
U00007,random,5,1,1,5,5,0.0,0.0,0.0,0.0,0.0
U00007,random,10,1,1,10,5,0.0,0.0,0.0,0.0,0.0
U00007,random,20,1,1,20,5,0.0,0.0,0.0,0.0,0.0
U00007,popularity,5,1,1,5,5,0.0,0.0,0.0,0.0,0.0
U00007,popularity,10,1,1,10,5,0.0,0.0,0.0,0.0,0.0
U00007,popularity,20,1,1,20,5,0.0,0.0,0.0,0.0,0.0
U00007,knowledge_only,5,1,1,5,5,0.0,0.0,0.0,0.0,0.0
U00007,knowledge_only,10,1,1,10,5,0.0,0.0,0.0,0.0,0.0
U00007,knowledge_only,20,1,1,20,5,0.0,0.0,0.0,0.0,0.0
U00007,content_only,5,1,1,5,5,0.0,0.0,0.0,0.0,0.0
U00007,content_only,10,1,1,10,5,0.0,0.0,0.0,0.0,0.0
U00007,content_only,20,1,1,20,5,0.0,0.0,0.0,0.0,0.0
U00007,cascade,5,1,1,5,5,0.0,0.0,0.0,0.0,0.0
U00007,cascade,10,1,1,10,5,0.0,0.0,0.0,0.0,0.0
U00007,cascade,20,1,1,20,5,0.0,0.0,0.0,0.0,0.0
U00016,random,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00016,random,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
U00016,random,20,1,1,20,1,0.0,0.0,0.0,0.0,0.0
U00016,popularity,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00016,popularity,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
U00016,popularity,20,1,1,20,1,0.0,0.0,0.0,0.0,0.0
U00016,knowledge_only,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00016,knowledge_only,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
U00016,knowledge_only,20,1,1,20,1,0.0,0.0,0.0,0.0,0.0
U00016,content_only,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00016,content_only,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
U00016,content_only,20,1,1,20,1,0.0,0.0,0.0,0.0,0.0
U00016,cascade,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00016,cascade,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
U00016,cascade,20,1,1,20,1,0.0,0.0,0.0,0.0,0.0
U00019,random,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00019,random,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
U00019,random,20,1,1,20,1,0.0,0.0,0.0,0.0,0.0
U00019,popularity,5,1,1,5,1,0.2,1.0,1.0,1.0,1.0
U00019,popularity,10,1,1,10,1,0.1,1.0,1.0,1.0,1.0
U00019,popularity,20,1,1,20,1,0.05,1.0,1.0,1.0,1.0
U00019,knowledge_only,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00019,knowledge_only,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
U00019,knowledge_only,20,1,1,20,1,0.0,0.0,0.0,0.0,0.0
U00019,content_only,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00019,content_only,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
U00019,content_only,20,1,1,20,1,0.0,0.0,0.0,0.0,0.0
U00019,cascade,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0
U00019,cascade,10,1,1,10,1,0.0,0.0,0.0,0.0,0.0
