config,label,k,users,precision,recall,recall_normalised,recall_reachable,ndcg,map,coverage
random,(a) Random,5,1742,0.0002296211251435132,0.0008610792192881745,0.0014047574452144597,0.0008952551477170994,0.0005842609419092992,0.00043053960964408724,0.585
popularity,(b) Popularity,5,1742,0.02939150401836969,0.1340126291618829,0.21862708372354375,0.09236048940614743,0.09496981079520732,0.07971361143002935,0.0005
knowledge_only,(c) Knowledge-based only (Ch7),5,1742,0.001148105625717566,0.004879448909299655,0.007960292189548605,0.007609668755595345,0.0032544460330414626,0.002530616150019135,0.0565
content_only,(d) Content-based only (Ch3),5,1742,0.0008036739380022963,0.0031572904707233064,0.005150777299119685,0.004923903312444047,0.0020355446647251324,0.001521239954075775,0.2427
cascade,(e) Full cascade (Ch7 -> Ch3),5,1742,0.0029850746268656717,0.012533486414083429,0.02044702503589936,0.021038495971351837,0.007805500455761005,0.005788365862992729,0.3131
random,(a) Random,10,1742,0.00017221584385763492,0.0014351320321469576,0.0023412624086907663,0.0017905102954341987,0.0007756118795288935,0.000512547154338199,0.8302
popularity,(b) Popularity,10,1742,0.018714121699196326,0.17022579410639113,0.2777049385028408,0.12324679200238733,0.10715753829773429,0.08482518725056039,0.001
knowledge_only,(c) Knowledge-based only (Ch7),10,1742,0.0012055109070034443,0.010619977037887486,0.017325341824311672,0.01656222023276634,0.005129759411499703,0.003275631913691615,0.1153
content_only,(d) Content-based only (Ch3),10,1742,0.0008610792192881745,0.007462686567164179,0.012174564525191984,0.010295434198746643,0.0034385363810780323,0.0020880032074061926,0.3808
cascade,(e) Full cascade (Ch7 -> Ch3),10,1742,0.0023536165327210107,0.0201875239188672,0.03293375788225011,0.032975231274246494,0.010371200444665328,0.00683157017112241,0.4413
random,(a) Random,20,1742,0.00014351320321469576,0.0025832376578645237,0.004214272335643379,0.0026857654431512983,0.0010414437750877862,0.0005731416179177374,0.97
popularity,(b) Popularity,20,1742,0.011796785304247992,0.21380597014925373,0.34880127364675034,0.1683079677708147,0.11834417268309773,0.0879163267223413,0.002
knowledge_only,(c) Knowledge-based only (Ch7),20,1742,0.0007462686567164179,0.0134902411021814,0.022007866641693203,0.021038495971351837,0.005865702875440286,0.0034826263273956934,0.2212
content_only,(d) Content-based only (Ch3),20,1742,0.0007462686567164179,0.01248564867967853,0.02036898295560967,0.017905102954341987,0.004735043052196875,0.0024111820286860184,0.5374
cascade,(e) Full cascade (Ch7 -> Ch3),20,1742,0.0017795637198622274,0.03071182548794489,0.0501030155459824,0.05043270665472993,0.013087754808949487,0.007556331243218757,0.5582
